installation,branch,state,joint_base,latitude,longitude,url
Travis Air Force Base,Air Force,CA,,+38.2544515,-121.9456515,https://installations.militaryonesource.mil/military-installation/travis-air-force-base/child-and-youth-services/child-and-youth-programs
Vandenberg SFB,Space Force,CA,,+34.7122846,-120.5566535,https://installations.militaryonesource.mil/military-installation/vandenberg-sfb/child-and-youth-services/child-and-youth-programs
Buckley SFB,Space Force,CO,,+39.7067166,-104.7578145,https://installations.militaryonesource.mil/military-installation/buckley-sfb/child-and-youth-services/child-and-youth-programs
Cheyenne Mountain Space Force Station,Space Force,CO,,+38.7397334,-104.8447368,https://installations.militaryonesource.mil/military-installation/cheyenne-mountain-space-force-station/child-and-youth-services/child-and-youth-programs
Fort Carson,Army,CO,,+38.5608226,-104.8280969,https://installations.militaryonesource.mil/military-installation/fort-carson/child-and-youth-services/child-and-youth-programs
Peterson SFB,Space Force,CO,,+38.7772709,-104.6917511,https://installations.militaryonesource.mil/military-installation/peterson-sfb/child-and-youth-services/child-and-youth-programs
Schriever SFB,Space Force,CO,,+38.8024287,-104.5161692,https://installations.militaryonesource.mil/military-installation/schriever-sfb/child-and-youth-services/child-and-youth-programs
USAF Academy,Air Force,CO,,+39.0125176,-104.8877057,https://installations.militaryonesource.mil/military-installation/usaf-academy/child-and-youth-services/child-and-youth-programs
Naval Submarine Base New London,Navy,CT,,+41.3995373,-72.0836120,https://installations.militaryonesource.mil/military-installation/naval-submarine-base-new-london/child-and-youth-services/child-and-youth-programs
Joint Base Anacostia-Bolling,"Air Force, Navy",DC,Joint Base Anacostia-Bolling,+38.8401054,-77.0167120,https://installations.militaryonesource.mil/military-installation/joint-base-anacostia-bolling/child-and-youth-services/child-and-youth-programs
Naval Support Activity Washington,Navy,DC,,+38.8745872,-76.9957496,https://installations.militaryonesource.mil/military-installation/naval-support-activity-washington/child-and-youth-services/child-and-youth-programs
